Company / Role,Salary Information (CAD unless otherwise specified),Benefits,Year,Position
CODECRAFTERS (QUEBEC OFFICE),42-43/hr (6th coop),,2022,
CODECRAFTERS (QUEBEC),45.56/hr (3rd coop),,,
CODECRAFTERS ANALYST,43.11/hr USD (2nd coop),,,
CTS (CYBERSECURITY AND TECHNOLOGY SERVICES),23.17/hr (3rd coop),,,
CTS (CYBERSECURITY AND TECHNOLOGY SERVICES),47-55/hr,,,
CTS (CYBERSECURITY AND TECHNOLOGY SERVICES),40+/hr,,,
CTS (CYBERSECURITY AND TECHNOLOGY SERVICES),49-55/hr,Flights,,
CTS (Cybersecurity and Technology Services),53/hr,,,
CTS (Cybersecurity and Technology Services),55.94 USD/hr (3rd coop),,,
CTS (Cybersecurity and Technology Services),25.53/hr,,,
CTS (Cybersecurity and Technology Services),47/hr USD,,,
CTS (Cybersecurity and Technology Services),1890 USD/week (3rd coop),,,
CTS (Cybersecurity and Technology Services),math coop average + 15%,,,
CTS (Cybersecurity and Technology Services),21.79 USD/hr,,2022,Intern Analyst
CYBERSPHERE (ALBERTA OFFICE),46/hr USD (6th coop),,,
CYBERSPHERE (ANALYST),46-55/hr (6th coop),,,
CYBERSPHERE (ON OFFICE),51 USD/hr (5th coop),,,
CYBERSPHERE (QC),45.42/hr,,,Intern Analyst
CYBERSPHERE TESTER,30.90/hr,,,
CodeCrafters,24.40/hr USD (3rd coop),,,
CodeCrafters,19/hr USD,,,
CodeCrafters,26/hr USD (5th coop),Housing,,
CodeCrafters,56 USD/hr (2nd coop),,2023,
CodeCrafters,40-45/hr,,,
CodeCrafters (AB),34-57/hr,2000 housing,,
CodeCrafters (AB),21/hr (4th coop),,2022,
CodeCrafters (BC Office),less than 35/hr,,,
CodeCrafters (British Columbia),"11,000/mo for remote, 8.5k/mo for on-site",,,Intern Engineer
CodeCrafters (ON Office),59/hr,,,
CodeCrafters (ON),"30/hr (1st coop), 30.25 (2nd coop)",,"2022, 2023",Data Science
CodeCrafters (Ontario Office),43.96/hr USD,,,
CodeCrafters (QA),48.43/hr,,,
CodeCrafters (QC Office),29/hr (1st coop),,,
CodeCrafters (QC Office),1895 USD/mo,,,
CodeCrafters (Quebec),27-37/hr (3rd coop),,,
CodeCrafters (analyst),48/hr,,,
CodeCrafters (intern),31.36 USD/hr (3rd coop),,,
CodeCrafters (tester),30/hr (1st coop),,,
CodeCrafters QA,33.13/hr USD,,,Actuarial Analyst
CodeCrafters analyst,59.08/hr (4th coop),,,
CodeCrafters developer,41.80/hr (6th coop),2000/mo housing,,
CodeCrafters manager,16778/month (2nd coop),$20/day lunch,,
CyberSphere,24.31/hr USD,,,Algorithms dev
CyberSphere,106k USD annual prorated (~$51/hr USD),,,
CyberSphere (AB),54/hr,,,
CyberSphere (Alberta Office),1187/week (3rd coop),,,
CyberSphere (Alberta),30.20/hr (5th coop),,,
CyberSphere (BC),43 USD/hr (6th coop),$1500 signing bonus,,
CyberSphere (DEV),33.81/hr,,,
CyberSphere (QA),"15,382/mo USD",,,
CyberSphere (QC Office),45.18 USD/hr,,,
CyberSphere (analyst),36/hr (4th coop),,,All positions
CyberSphere (manager),53-53/hr (5th coop),,,
CyberSphere analyst,37 USD/hr,,,
CyberSphere analyst,37/hr (6th coop),,,
CyberSphere developer,21/hr (6th coop),,,
CyberSphere developer,30.46/hr USD,,,
DATAFORGE,"3,095 USD/month (1st coop)",,2024,
DATAFORGE (BC),27 USD/hr (6th coop),,,Engineering
DATAFORGE (ON),58.80/hr,,,
DATAFORGE (ONTARIO OFFICE),51 USD/hr (6th coop),,,
DATAFORGE (QA),20/hr USD,,,QA
DATAFORGE (QC OFFICE),math coop average + 15%,,,
DATAFORGE DEV,40 USD/hr,,,
DataForge,27-46/hr,,,
DataForge,58/hr (4th coop),,,
DataForge,35 USD/hr (5th coop),,,
DataForge,"30/hr (1st coop), 30.25 (2nd coop)",,2022/2023,Firmware
DataForge,"2,510/mo (3rd coop)",,,
DataForge,35 USD/hr,2.5k bonus,,
DataForge,50.08 USD/hr (4th coop),,,
DataForge,19-21/hr,,,
DataForge,"10000/mo for remote, 8k/mo for on-site",,,
DataForge (AB Office),34.91 USD/hr,,,
DataForge (AB Office),22/hr,,,
DataForge (AB),"16,454/month",,,
DataForge (Alberta),45.67/hr (1st coop),,,
DataForge (ON),25/hr USD (2nd coop),,,SWE
DataForge (QC Office),50.65/hr,,,
DataForge (Quebec Office),53 USD/hr (4th coop),,,
DataForge (analyst),29 USD/hr (1st coop),,2022,
DataForge (developer),56-60/hr (2nd coop),,,
DataForge (intern),38.28 USD/hr (1st coop),2k bonus,,
DataForge (manager),35.23/hr (2nd coop),,,
DataForge (tester),25.11/hr,$2000/mo housing stipend + $500/mo misc,,
DataForge developer,48-54/hr (4th coop),,,
DataForge manager,23.46/hr USD (3rd coop),,,
DataForge manager,58.91/hr (4th coop),,,
DataForge tester,37.07/hr USD (4th coop),2.5k bonus,,
DataForge tester,1331/wk (3rd coop),,2024,Firmware
GIA (GOVERNMENT INNOVATION AGENCY),19.64/hr (2nd coop),,,
GIA (GOVERNMENT INNOVATION AGENCY),high 30s/hr,,,
GIA (GOVERNMENT INNOVATION AGENCY),18/hr,,,
GIA (GOVERNMENT INNOVATION AGENCY),42.91/hr USD (6th coop),,,
GIA (GOVERNMENT INNOVATION AGENCY),50/hr,,,
GIA (Government Innovation Agency),26/hr USD (6th coop),,,
GIA (Government Innovation Agency),22.02 USD/hr,,,
GIA (Government Innovation Agency),26.83/hr (1st coop),,,
GIA (Government Innovation Agency),41/hr (3rd coop),stipend,2022,
GIA (Government Innovation Agency),53.25/hr USD,,,
GIA (Government Innovation Agency),44-58/hr (4th coop),,,
GIA (Government Innovation Agency),53.25/hr USD,,,
GIA (Government Innovation Agency),53.25/hr USD,,2023,
GIA (Government Innovation Agency),8879 USD/mo (3rd coop),,,
GIA (Government Innovation Agency),53.25/hr USD,,,
GOVLINK,1950/week (1st coop),,2024,
GOVLINK,48.35/hr,stipend,,
GOVLINK (BC OFFICE),33.70/hr,,,
GOVLINK (BRITISH COLUMBIA),50.52/hr,,,
GOVLINK (ON OFFICE),48.35/hr,,,
GOVLINK (ONTARIO OFFICE),41.28/hr,,,
GOVLINK (ONTARIO),26.33/hr,,,
GOVLINK (TESTER),33.98/hr (5th coop),stipend,,
GOVLINK ANALYST,"40-60/hr, 45/hr (2nd coop), 9000/mo (5th coop)",,"2022, 2023",SWE
GOVLINK,"40-60/hr, 45/hr (2nd coop), 9000/mo (5th coop)",$1000 USD bonus,"2022, 2023",SWE
GOVLINK INTERN,55 USD/hr,,,
GOVLINK TESTER,"40-60/hr, 45/hr (2nd coop), 9000/mo (5th coop)",,,
GOVLINK TESTER,28.94/hr USD (3rd coop),,,SWE
GovLink,42 USD/hr,,2023,
GovLink,32.12 USD/hr (5th coop),,,
GovLink,42 USD/hr,,,
GovLink,less than 30/hr,,,
GovLink,35.89/hr USD,Weekly Skip the Dishes stipend,2023,
GovLink,33.18/hr USD (3rd coop),,,
GovLink,39/hr USD (6th coop),,,
GovLink,51 USD/hr (4th coop),4% vacation pay,2023,
GovLink,"3,406 USD/month (2nd coop)",,,
GovLink (AB),50/hr,,,
GovLink (Alberta Office),33-45/hr,,,
GovLink (Alberta),58-58/hr,stipend,2022,
GovLink (BC Office),47.22 USD/hr,,,
GovLink (BC Office),1274/week USD,,2022,
GovLink (BC Office),59.82/hr USD,,,
GovLink (DEV),55.50/hr,,,
GovLink (ON Office),47.14/hr USD (2nd coop),3k bonus,2023,
GovLink (Ontario Office),33 USD/hr (3rd coop),,,
GovLink (QA),55.50/hr,,,
GovLink (analyst),33.31/hr USD (3rd coop),,,SWE
GovLink (developer),24.55/hr (6th coop),$1600 signing bonus,2023,
GovLink (manager),21-22/hr,,,
GovLink DEV,55-60/hr,,,
GovLink analyst,59 USD/hr (3rd coop),,,
GovLink developer,51/hr USD,,,
GovLink intern,51/hr USD,,2023,
GovLink tester,32/hr,,,
INNOWORKS,52.00/hr,,2023,
INNOWORKS (ALBERTA),52.00/hr (1st coop),,,
INNOWORKS (DEV),21-50/hr (6th coop),,,
INNOWORKS (MANAGER),27 USD/hr,,,
INNOWORKS (ON OFFICE),55.98/hr (4th coop),,,
INNOWORKS (QUEBEC),46/hr,,,
InnoWorks,"1,153/week (5th coop)",,,
InnoWorks,20.91 USD/hr (1st coop),,,
InnoWorks,26.06/hr (1st coop),,,
InnoWorks (AB Office),35/hr (4th coop),,,
InnoWorks (AB),34.74/hr (4th coop),,,
InnoWorks (AB),59.88/hr USD (5th coop),,2023,
InnoWorks (Alberta),55/hr USD (4th coop),,,SWE
InnoWorks (ON Office),26.11/hr USD,,,
InnoWorks (Ontario Office),37.57/hr (6th coop),stipend,,
InnoWorks (Ontario Office),"3,917/month (5th coop)",,,
InnoWorks (Ontario),58.31/hr,,,
InnoWorks (Quebec Office),50/hr,,2023,
InnoWorks (developer),25.02/hr USD,Stipend,,
InnoWorks (tester),1299/wk USD (1st coop),,,
InnoWorks DEV,51.49/hr,,2024,
InnoWorks developer,"1,367 USD/wk (2nd coop)",,,
InnoWorks developer,33 USD/hr (3rd coop),,,
InnoWorks manager,46/hr USD (3rd coop),,,
NDS (NATIONAL DATA SERVICES),52/hr,,,
NDS (NATIONAL DATA SERVICES),32.32/hr,,2023,
NDS (NATIONAL DATA SERVICES),48.35/hr,,,
NDS (NATIONAL DATA SERVICES),40.22/hr (1st coop),,,
NDS (NATIONAL DATA SERVICES),55 USD/hr (5th coop),,,
NDS (NATIONAL DATA SERVICES),27-44/hr,,,
NDS (National Data Services),51/hr (4th coop),,,
NDS (National Data Services),56 USD/hr (3rd coop),,,
NDS (National Data Services),30.07 USD/hr,,,SWE
NDS (National Data Services),39/hr,,,
NDS (National Data Services),"1,342/wk",,2023,
NDS (National Data Services),60/hr (1st coop),,2023,
NETFUSION,39-42/hr,,,
NETFUSION,30.90 USD/hr,,,
NETFUSION (AB OFFICE),46.33/hr,,,
NETFUSION (DEV),38.13/hr USD (2nd coop),,2024,
NETFUSION (INTERN),26-59/hr,,,
NETFUSION (ONTARIO OFFICE),18/hr (6th coop),,,
NETFUSION (ONTARIO),36/hr USD (1st coop),,,
NETFUSION INTERN,25/hr (3rd coop),,,
NetFusion,53.79/hr (3rd coop),,2024,Fullstack
NetFusion,28.87 USD/hr,,,
NetFusion,54-60/hr,,,
NetFusion,40/hr USD,,,
NetFusion,1016/wk (6th coop),,2024,
NetFusion,33 USD/hr,,,
NetFusion (AB),22-22/hr (3rd coop),,,Hardware
NetFusion (Alberta Office),33 USD/hr,,2024,
NetFusion (Alberta Office),32.86 USD/hr,,,
NetFusion (Alberta Office),46 USD/hr,,,
NetFusion (BC Office),44-57/hr,,2024,
NetFusion (ON),46-59/hr,,2024,
NetFusion (ON),45 USD/hr (1st coop),,,
NetFusion (QA),26.51 USD/hr (2nd coop),,,
NetFusion (analyst),19 USD/hr (5th coop),,,
NetFusion (developer),37.13/hr USD,,,
NetFusion (manager),35 USD/hr,,,
NetFusion (tester),34 USD/hr,,2024,
NetFusion DEV,28/hr,,,SWE
NetFusion analyst,38.66 USD/hr (5th coop),,,
NetFusion intern,59.99 USD/hr (4th coop),,,
NetFusion tester,41.18/hr (4th coop),,2024,
QUANTUMSOFT,45/hr,,,
QUANTUMSOFT (ALBERTA OFFICE),1204/wk USD (4th coop),,2024,
QUANTUMSOFT (ALBERTA),45/hr,,2024,
QUANTUMSOFT (ANALYST),42.04/hr (3rd coop),,2024,
QUANTUMSOFT (BRITISH COLUMBIA),34/hr,,,
QUANTUMSOFT (BRITISH COLUMBIA),34/hr (1st coop),,2024,
QUANTUMSOFT (DEVELOPER),58-59/hr,,,
QUANTUMSOFT (MANAGER),29.42/hr USD,,,
QUANTUMSOFT (MANAGER),29.42/hr USD,,,
QUANTUMSOFT (ON OFFICE),40-50/hr,,2024,
QUANTUMSOFT (ONTARIO OFFICE),30/hr,,,
QUANTUMSOFT INTERN,31/hr USD,,2024,
QuantumSoft,34.45/hr USD,,2024,SWE
QuantumSoft,30.67/hr USD (3rd coop),,,
QuantumSoft,30.67/hr,,2024,
QuantumSoft (AB),18 USD/hr (6th coop),,,
QuantumSoft (AB),18 USD/hr (6th coop),,,SWE
QuantumSoft (Alberta),22-50/hr (1st coop),,,
QuantumSoft (Alberta),30/hr,,2024,
QuantumSoft (BC Office),30/hr,,,
QuantumSoft (DEV),34.55/hr (2nd coop),,,
QuantumSoft (ON Office),48/hr USD,,,
QuantumSoft (Ontario),30/hr,,2024,
QuantumSoft (QC Office),30/hr,,,
QuantumSoft (QC),30/hr,,,
QuantumSoft (developer),30/hr,,2024,
QuantumSoft (developer),30/hr,,,
QuantumSoft (intern),33 USD/hr (5th coop),,2025,
QuantumSoft (manager),30/hr,,,
QuantumSoft (manager),23 USD/hr,,2024,
QuantumSoft (manager),35/hr,,,QA
QuantumSoft DEV,31.37/hr USD,,,
QuantumSoft QA,43-45/hr (1st coop),,,
QuantumSoft intern,30/hr,,,
QuantumSoft tester,22.45/hr (5th coop),,,
SECURESYS,33.59/hr (4th coop),,2024,
SECURESYS (ALBERTA),18.03/hr (5th coop),,,
SECURESYS (DEV),(dev) 40/hr (5h coop),,,
SECURESYS (ONTARIO),57.94 USD/hr (4th coop),,,
SECURESYS (QUEBEC OFFICE),20/hr (2nd coop),,,
SECURESYS (QUEBEC OFFICE),49.78/hr USD (6th coop),,,
SECURESYS ANALYST,54.98/hr (6th coop),,,
SECURESYS ANALYST,44-52/hr,,2025,
SECURESYS DEV,52-58/hr (5th coop),,,
SECURESYS DEVELOPER,6000 USD/mo (+1500/mo relocation in-person),,,
SecureSys,31.56/hr (2nd coop),,,
SecureSys,33/hr USD,,,SWE
SecureSys (AB),40 USD/hr,,,
SecureSys (AB),40 USD/hr,,,
SecureSys (BC),40 USD/hr,,2023,
SecureSys (DEV),25/hr USD,,,
SecureSys (ON Office),44-44/hr (3rd coop),,,
SecureSys (Ontario),29.93 USD/hr (2nd coop),,,
SecureSys (QC),29/hr USD (5th coop),,,
SecureSys (Quebec),51.85/hr USD (3rd coop),,,
SecureSys DEV,40 USD/hr,,,
SecureSys DEV,29/hr USD,,2025,
SecureSys analyst,"1,923/wk USD",,,
SecureSys analyst,40 USD/hr,,,
SecureSys developer,33.66/hr (4th coop),,,
SecureSys developer,26.32 USD/hr (5th coop),,,
SecureSys intern,59.51/hr (4th coop),,,
SecureSys tester,22/hr (5th coop),,,
SecureSys tester,58.06 USD/hr,,,
TDI (TECH DEVELOPMENT INSTITUTE),34.36/hr (2nd coop),,,
TDI (TECH DEVELOPMENT INSTITUTE),30.18/hr USD,,,
TDI (Tech Development Institute),19.82 USD/hr,,,
TDI (Tech Development Institute),53.57 USD/hr (2nd coop),,,
TDI (Tech Development Institute),(up to) 65/hr + 10k bonus,,2025,
TDI (Tech Development Institute),37-49/hr,,,
TDI (Tech Development Institute),47.77 USD/hr,,,
TECHNOVA,29.48 USD/hr (5th coop),,,
TECHNOVA,"35/hr (remote, 4th coop)",,2025,
TECHNOVA,18 USD/hr,~4.5k relocation,,
TECHNOVA,40 USD/hr,,,
TECHNOVA (AB),51.42/hr,,,
TECHNOVA (ALBERTA),45.88 USD/hr,,,
TECHNOVA (ONTARIO OFFICE),31/hr USD,,,
TECHNOVA (ONTARIO OFFICE),35.73/hr,,,
TECHNOVA (QC),45 USD/hr,,,
TechNova,25 USD/hr,,2025,
TechNova,37/hr (4th coop),1.2k/mo housing,,
TechNova,54/hr USD,,,
TechNova,20/hr USD,,,
TechNova,44/hr (3rd coop),,,
TechNova,38.72/hr,,,
TechNova (BC Office),34.08/hr (6th coop),,,
TechNova (British Columbia Office),26.78 USD/hr,,,
TechNova (British Columbia),26.78 USD/hr,,,
TechNova (British Columbia),28-44/hr (2nd coop),,,
TechNova (ON),32/hr,,,
TechNova (QC Office),49/hr USD,,,
TechNova (Quebec),49/hr USD,,2025,
TechNova (analyst),51 USD/hr,,,
TechNova (developer),42.90/hr USD (2nd coop),,,
TechNova (intern),55/hr USD (5th coop),,,
TechNova (intern),27.65/hr USD (6th coop),,,
TechNova (manager),49/hr USD,,,
TechNova DEV,45/hr (3rd coop),,,
TechNova DEV,38-55/hr (6th coop),,,
TechNova QA,58 USD/hr,,,
TechNova QA,40.90 USD/hr (5th coop),,,
TechNova intern,28.29/hr (6th coop),,,
alphabyte,"1,900 USD/week (2nd coop)",,,
alphabyte,42.09/hr USD,,,
alphabyte,"5,506/mo (5th coop)",,,
alphabyte,"14,144/month USD",,2025,SWE
alphabyte,"13,975/mo USD",,2025,
alphabyte,58 USD/hr,1.5/mo USD on-site housing,2025,
alphabyte (alberta office),49/hr USD,,,
alphabyte (alberta office),30/hr (3rd coop),,2025,
alphabyte (bc office),30/hr (3rd coop),,,
alphabyte (developer),30/hr (3rd coop),,2025,
alphabyte (on office),30/hr (3rd coop),,2025,
alphabyte (ontario),41.39/hr USD (3rd coop),,,
alphabyte (tester),36.64/hr USD (1st coop),,,
cita (canadian information technology agency),29/hr,,,
cita (canadian information technology agency),27.47/hr USD,,,
cita (canadian information technology agency),19-42/hr,,,
codecrafters,37.88/hr USD,,,
codecrafters,"1,290/wk",,,
codecrafters,23/hr USD,,,
codecrafters,"¥250,000/mo (2nd coop)",,,
codecrafters,7945/month USD,,2025,
codecrafters (analyst),57/hr USD (4th coop),,,
codecrafters (bc),45.44 USD/hr (6th coop),,,
codecrafters (developer),25.60/hr USD (4th coop),,,
codecrafters (qc),24/hr,,,
codecrafters (quebec),23.29/hr USD,,,
codecrafters manager,21 USD/hr,,,
codecrafters qa,43 USD/hr (4th coop),,,
cts (cybersecurity and technology services),20 USD/hr (2nd coop),1.2k/mo allowance,,
cts (cybersecurity and technology services),26.50/hr,,,
cts (cybersecurity and technology services),34.19/hr USD,,,
cts (cybersecurity and technology services),36/hr (3rd coop),,2025,SWE
cts (cybersecurity and technology services),57/hr (1st coop),,,
cts (cybersecurity and technology services),41 USD/hr (2nd coop),,,
cts (cybersecurity and technology services),46 USD/hr (5th coop),,,
cts (cybersecurity and technology services),48.95/hr USD,,,
cybersphere,"¥250,000/mo",,,
cybersphere,45-57/hr (1st coop),,,
cybersphere,"7,029/mo",,2025,
cybersphere (analyst),22.13 USD/hr (5th coop),,,Data Analyst
cybersphere (british columbia office),52.68/hr,,,
cybersphere and qa,25.13 USD/hr,,,
cybersphere and qa,"1,806/wk USD (4th coop)",,,
cybersphere and tester,50/hr,,,
dataforge,44.35/hr USD (2nd coop),,,
dataforge,21-53/hr,,,
dataforge (bc office),56.61/hr,,,
dataforge (developer),59.83/hr,,,
dataforge (on office),50/hr,,,
dataforge (on office),56.17 USD/hr,1.2k USD/mo allowance,,SWE
dataforge and analyst,25/hr,,,
dataforge and tester,47.15/hr (4th coop),,,
gia (government innovation agency),41.45/hr USD (3rd coop),,,
gia (government innovation agency),58.45/hr USD,,,
gia (government innovation agency),43.60/hr USD (4th coop),,,
gia (government innovation agency),45/hr,500 remote stipend,,
gia (government innovation agency),45/hr,,,
gia (government innovation agency),48/hr USD (1st coop),,,
govlink,25/hr,,,
govlink,21/hr,,,
govlink,23 USD/hr,,,
govlink,25/hr,,,SWE
govlink (ab),25.88/hr USD (5th coop),,,
govlink (bc),35.58/hr USD (6th coop),,,Product Design
govlink (british columbia),25/hr,,,
govlink (intern),36 USD/hr,,,
govlink (on office),38 USD/hr (3rd coop),,,
govlink (on),32 USD/hr (3rd coop),,,
govlink (ontario office),42.52/hr USD,,,
govlink (ontario),46/hr USD,,,
govlink (ontario),38.37/hr (5th coop),,,
govlink (qc office),5628/month USD (4th coop),,,
govlink (qc),27 USD/hr,,,
govlink and qa,33 USD/hr,,,
innoworks,38-45/hr (2nd coop),1000 USD/mo housing stipend + flights (3rd coop),,
innoworks,35 USD/hr (5th coop),,,
innoworks (ab office),24.36/hr USD (2nd coop),,,
innoworks (ab),23/hr,,,
innoworks (alberta office),18-40/hr,,,
innoworks (analyst),56 USD/hr,1500 stipend,,
innoworks (bc office),35.91/hr USD (1st coop),,,
innoworks (intern),23.91/hr USD (6th coop),,2025,
innoworks (manager),56 USD/hr,,,
innoworks (on),28.02/hr USD,,,SWE
innoworks (ontario),55.14/hr USD (6th coop),,,
innoworks (qa),9566/month USD (1st coop),,,
innoworks (tester),35-54/hr (4th coop),,,
innoworks and developer,44.94 USD/hr,,,
innoworks and tester,7000/mo,,,
innoworks and tester,23.23/hr USD,,,
innoworks and tester,55.21 USD/hr (3rd coop),15k housing + 1k transit + flights,,
nds (national data services),32/hr,,2025,Hardware
nds (national data services),"13,252 USD/mo (6th coop)",,,
nds (national data services),57-57/hr,,,
nds (national data services),54 USD/hr (6th coop),,,
netfusion,39.27 USD/hr (2nd coop),1.5k/mo stipend,,
netfusion (ab office),47.45 USD/hr,,,
netfusion (alberta office),23 USD/hr (6th coop),,2025,
netfusion (bc office),2500 stipend,,,
netfusion (british columbia),29/hr USD (4th coop),,,
netfusion (intern),47.30/hr USD (6th coop),,,
netfusion (tester),32.15/hr (1st coop),,,
netfusion and analyst,29.63 USD/hr,,,
netfusion and developer,23/hr USD (2nd coop),,,Product Design
netfusion and tester,42/hr USD,,,
quantumsoft,34.82 USD/hr,,,
quantumsoft,53.03 USD/hr,,,
quantumsoft,38.67/hr USD,,,
quantumsoft,33.62/hr USD,,,
quantumsoft (ab office),29-43/hr (4th coop),,,
quantumsoft (alberta),29/hr,,,
quantumsoft (bc),58.40/hr (3rd coop),,,
quantumsoft (dev),43 USD/hr,,,
quantumsoft (dev),19.00/hr,1.5k/mo housing,,SWE
quantumsoft (dev),25.29 USD/hr (2nd coop),,,
quantumsoft (developer),41 USD/hr,15/h USD housing,,
quantumsoft (developer),39-51/hr (3rd coop),,,
quantumsoft (intern),35.63/hr (4th coop),,,
quantumsoft (qa),35.37/hr USD (4th coop),,,
quantumsoft (qc),45.83 USD/hr,,,SWE
quantumsoft (tester),23.44/hr,,,
quantumsoft and dev,55.22/hr USD (5th coop),,,
quantumsoft and manager,3500 stipend,,,
quantumsoft and qa,29/hr USD (3rd coop),1500 stipend,,Marketing
securesys,42 USD/hr (4th coop),,,
securesys,44/hr USD (6th coop),,,
securesys,54/hr,,,
securesys,36/hr USD (4th coop),,,
securesys (british columbia office),52.64/hr USD,,,
securesys (british columbia),59-60/hr,,,SWE
securesys (dev),19.10 USD/hr,,,
securesys (developer),37/hr USD,,,
securesys (qc),"1,470/week USD (3rd coop)",2k/mo housing + 500/mo stipend + 10k signing bonus,,SWE
tdi (tech development institute),25-44/hr (1st coop),,2025,
technova,22/hr (2nd coop),,,
technova,37 USD/hr,,,
technova,51/hr USD,,,
technova,25/hr USD (1st coop),3k relocation,,SWE
technova (ab),21 USD/hr,,,
technova (analyst),23/hr USD,,,
technova (bc),38.61/hr,,,
technova (on office),52 USD/hr (5th coop),,,
technova (qc office),55.03 USD/hr,,,
technova (quebec office),39/hr + 4800 stipend (5th coop),,,
technova and developer,45.57 USD/hr,,,Data Analyst
